[]
http://ucuenca.edu.ec/wkhuska/publication/immunogenicity-and-protective-effect-of-the-spf66-malaria-synthetic-vaccine-against-plasmodium-falciparum-infection-in-randomized-double-blind-placebo-controlled-field-trial-in-an-endemic-area-of,,0264410X,
http://ucuenca.edu.ec/wkhuska/publication/online-reference-limitation-method-of-shunt-connected-converters-to-the-grid-to-avoid-exceeding-voltage-and-current-limits-under-unbalanced-operation-part-ii-validation,IEEE Transactions on Energy Conversion,,
http://ucuenca.edu.ec/wkhuska/publication/what-happens-to-people-bitten-by-rabid-dogs-after-receiving-post-exposure-prophylaxis-in-cambodia-results-of-the-pilot-rabies-lookback-study,International Journal of Infectious Diseases,,
http://ucuenca.edu.ec/wkhuska/publication/lipoic-acid-protects-the-retina-against-ischemia-reperfusion,Neuropharmacology,,
http://ucuenca.edu.ec/wkhuska/publication/clinical-characteristics-and-patterns-of-medication-use-of-migraneurs-in-latin-america-from-12-cities-in-countries,Headache,,Latindex,[{"catalogada":"si";"tit_clave":["headache medicine"];"issn":["2178-7468"];"nombre_largo":["brasil"];"nfound":"1";"url":"";"nfoundfoliou":1;"nombre_edi":["trasso comunica��o ltda."];"folio_u":8159;"situacion":"vigente";"ano_ini":["2010"];"folio":20833;"subtema":"medicina; neurolog�a"};]
http://ucuenca.edu.ec/wkhuska/publication/improving-security-for-scada-sensor-networks-with-reputation-systems-and-self-organizing-maps,Sensors,,Latindex,[{"catalogada":"";"tit_clave":["monitoreo de cultivos del noroeste argentino a partir de sensores remotos (en l�nea)"];"issn":["1851-8230"];"nombre_largo":["argentina"];"nfound":"1";"url":"si";"nfoundfoliou":1;"nombre_edi":["estaci�n experimental agropecuaria salta; instituto nacional de tecnolog�a agropecuaria"];"folio_u":19515;"situacion":"vigente";"ano_ini":["2001"];"folio":22131;"subtema":["agronom�a"]};]
http://ucuenca.edu.ec/wkhuska/publication/vitamin-12-treatment-of-asymptomatic-deficient-elderly-chileans-improves-conductivity-in-myelinated-peripheral-nerves-but-high-serum-folate-impairs-vitamin-12-status-response-assessed-by-the-combined-indicator-of-vitamin-12-status,The American Journal of Clinical Nutrition,,
http://ucuenca.edu.ec/wkhuska/publication/flavylium-network-of-chemical-reactions-in-confined-modulation-of-reactions-by-host-guest-interactions-with,,14397641,
http://ucuenca.edu.ec/wkhuska/publication/influence-of-binding-groups-on-molecular-junction-formation,Journal of the American Chemical Society,,
http://ucuenca.edu.ec/wkhuska/publication/prevalence-of-antibiotic-resistance-genes-and-bacterial-community-composition-in-river-influenced-by-wastewater-treatment-plant,PLOS ONE,,
http://ucuenca.edu.ec/wkhuska/publication/forests-and-floods-in-latin-policy-and-the-epic-force-project,,02508060,
http://ucuenca.edu.ec/wkhuska/publication/erratum-to-clinical-risk-prediction-model-of-orthodontic-induced-external-apical-root-resorption-rev-port-estomatol-med-dent-cir-maxilofac-2014-55-66-72,Revista Portuguesa De Pneumologia,,Latindex,[{"catalogada":"";"tit_clave":["revista portuguesa de pneumologia"];"issn":["0873-2159"];"nombre_largo":["portugal"];"nfound":"1";"url":"si";"nfoundfoliou":1;"nombre_edi":["sociedade portuguesa de pneumologia"];"folio_u":16497;"situacion":"vigente";"ano_ini":["1995"];"folio":4913;"subtema":["neumolog�a"]};]
http://ucuenca.edu.ec/wkhuska/publication/biosynthesis-of-silver-nanoparticles-using-lantana-camara,Journal of Sol-Gel Science and Technology,,
http://ucuenca.edu.ec/wkhuska/publication/resource-management-policies-for-commerce-servers,Sigmetrics Performance Evaluation Review,,
http://ucuenca.edu.ec/wkhuska/publication/partial-left-ventriculectomy-to-improve-left-ventricular-function-in-end-stage-heart-disease,Journal of Cardiac Surgery,,
http://ucuenca.edu.ec/wkhuska/publication/discovery-of-two-novel-classes-of-inhibitors-of-hepatitis-virus-hcv-replication-utilizing-dicistronic-reporter-hcv-replicon-high-throughput-assay,Antiviral Research,,
http://ucuenca.edu.ec/wkhuska/publication/changes-in-resting-energy-expenditure-and-body-composition-after-weight-loss-following-roux-en-y-gastric,,09608923,
http://ucuenca.edu.ec/wkhuska/publication/streptococcus-pneumoniae-associated-pneumonia-complicated-by-purulent-pericarditis-case-series,Jornal Brasileiro De Pneumologia,,Latindex,[{"catalogada":"";"tit_clave":["jornal brasileiro de pneumologia (impresso)"];"issn":["1806-3713"];"nombre_largo":["brasil"];"nfound":"2";"url":"";"nfoundfoliou":1;"nombre_edi":["sociedade brasileira de pneumologia e tisiologia"];"folio_u":9417;"situacion":"vigente";"ano_ini":["2004"];"folio":17652;"subtema":"medicina; neumolog�a"};; {"catalogada":"si";"tit_clave":["jornal brasileiro de pneumologia (online)"];"issn":["1806-3756"];"nombre_largo":["brasil"];"nfound":"2";"url":"si";"nfoundfoliou":1;"nombre_edi":["sociedade brasileira de pneumologia e tisiologia"];"folio_u":9417;"situacion":"vigente";"ano_ini":["2004"];"folio":17653;"subtema":"medicina; neumolog�a"};]
http://ucuenca.edu.ec/wkhuska/publication/mediterranean-tourism-and-climate-change-survey-based-study,Tourism and Hospitality Planning & Development,,
http://ucuenca.edu.ec/wkhuska/publication/marginal-bone-response-of-implants-with-platform-switching-and-non-platform-switching-abutments-in-posterior-healed-sites-year-prospective-study,Clinical Oral Implants Research,,
http://ucuenca.edu.ec/wkhuska/publication/synthesis-and-structure-of-new-substituted-dicyanomethylene-dihydropyridines,Journal of Heterocyclic Chemistry,,
http://ucuenca.edu.ec/wkhuska/publication/gaze-on-rural-education-according-to-scientific-discourses-during-the-last-decade,Procedia - Social and Behavioral Sciences,,
http://ucuenca.edu.ec/wkhuska/publication/role-of-the-civil-engineer-as-coordinator-of-safety-and-health-matters-within-the-construction-sector,Journal of Professional Issues in Engineering Education and Practice,,
http://ucuenca.edu.ec/wkhuska/publication/the-xeon-processor-e5-2600-v3-22-nm-18-core-product-family,IEEE Journal of Solid-state Circuits,,
http://ucuenca.edu.ec/wkhuska/publication/context-aware-recommender-systems-for-learning-survey-and-future-challenges,IEEE Transactions on Learning Technologies,,
http://ucuenca.edu.ec/wkhuska/publication/bayesian-belief-network-models-to-analyse-and-predict-ecological-water-quality-in,,03043800,
http://ucuenca.edu.ec/wkhuska/publication/metallic-nanoparticles-from-spontaneous-reduction-of-silver-in-dmso-interaction-between-nitric-oxide-and-silver-nanoparticles,Journal of Physical Chemistry B,,
http://ucuenca.edu.ec/wkhuska/publication/usage-of-social-and-semantic-web-technologies-to-design-searching-architecture-for-software-requirement,,17518806,
http://ucuenca.edu.ec/wkhuska/publication/synthesis-of-aureol-by-bioinspired-rearrangements,Journal of Organic Chemistry,,
http://ucuenca.edu.ec/wkhuska/publication/scanning-auger-of-specific-via-interface-in-an-integrated-circuit-using-novel-focused-ion-beam-sample-preparation-technique,Journal of Vacuum Science and Technology,,
